Index,Variant,"Major area, region, country or area *",Notes,Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
84.0,Estimates,Republic of Korea,,410.0,0.013,3.804,-2.105,-2.601,-2.719,-0.916,1.627,2.084,-2.89,-1.29,0.976,1.674,1.207
85.0,Estimates,Other non-specified areas,,158.0,0.476,-0.016,4.653,6.959,-0.331,1.972,-0.663,-2.025,-1.707,-1.659,0.989,0.415,0.0
86.0,Estimates,South-Central Asia,7.0,921.0,0.094,0.297,0.235,0.044,-0.155,-0.094,-0.298,-0.301,-0.828,-0.684,-0.788,-1.29,-0.752
87.0,Estimates,Central Asia,,5500.0,5.028,9.385,9.166,5.131,2.743,-1.05,-2.756,-5.147,-9.38,-7.508,-2.79,-1.745,-0.901
88.0,Estimates,Kazakhstan,,398.0,15.4,21.791,12.631,2.771,-0.814,-4.318,-5.189,-8.122,-18.631,-17.162,0.586,-0.443,1.884
89.0,Estimates,Kyrgyzstan,,417.0,0.77,5.582,9.848,7.95,2.18,1.037,-2.093,-5.718,-12.089,-1.37,-6.868,-2.896,-3.997
90.0,Estimates,Tajikistan,,762.0,-2.02,-2.54,6.829,2.562,1.829,-0.314,-1.034,-1.543,-10.441,-10.853,-2.972,-1.819,-2.923
91.0,Estimates,Turkmenistan,,795.0,-4.485,5.086,4.164,3.573,2.68,1.215,-1.65,-1.99,2.222,-2.777,-4.95,-2.331,-0.96
92.0,Estimates,Uzbekistan,,860.0,-1.034,0.372,6.483,7.999,6.847,1.051,-1.341,-4.016,-3.703,-2.457,-3.569,-2.162,-1.353
93.0,Estimates,Southern Asia,,5501.0,-0.092,-0.068,-0.147,-0.182,-0.284,-0.052,-0.191,-0.094,-0.475,-0.418,-0.713,-1.273,-0.747
94.0,Estimates,Afghanistan,,4.0,-0.499,-0.463,-0.423,-0.38,-0.337,-17.329,-55.041,-25.052,30.894,-4.162,7.293,-5.175,3.128
95.0,Estimates,Bangladesh,,50.0,-0.275,0.007,-0.547,-0.535,-8.887,-2.887,-1.921,-0.441,-1.522,-1.211,-2.48,-4.849,-2.849
96.0,Estimates,Bhutan,,64.0,10.613,4.715,4.195,7.352,12.488,7.877,0.362,0.635,-32.894,0.053,11.511,4.909,2.675
97.0,Estimates,India,,356.0,-0.054,-0.002,-0.036,-0.093,0.721,0.343,0.131,0.011,-0.148,-0.142,-0.402,-0.476,-0.409
98.0,Estimates,Iran (Islamic Republic of),,364.0,-0.012,-0.019,-0.067,0.387,0.507,2.353,9.164,5.198,-7.815,1.951,-0.207,-1.522,-0.782
